eval,job_id,energy,elapsed_s,params
1,d9uhq4j43mgs73et0c9g,-1.056036239420,78.471,0.1 0.1 0.05 0.05
2,d9uhqob43mgs73et0csg,-1.025601016841,58.270,0.35 0.1 0.05 0.05
3,d9uhr6ou5hac73ah8b3g,-1.091666677467,20.751,0.1 0.35 0.05 0.05
4,d9uhrc498n5s7392so1g,-1.064235346001,20.871,0.1 0.35 0.3 0.05
5,d9uhrh343mgs73et0dmg,-1.132143635199,35.987,0.1 0.35 0.05 0.3
6,d9uhrq0u5hac73ah8bng,-1.250636845765,26.042,-0.0123483393304 0.481525916522 -0.0512597994912 0.449416320862
7,d9uhs0t35hes73fjuvvg,-1.377251871890,21.413,-0.47302815098 0.595986142356 -0.139380983698 0.579445643458
8,d9uhs6535hes73fjv05g,-1.526743517364,31.398,-0.662950969747 0.791886155769 -0.290201419724 0.970349344813
9,d9uhsds98n5s7392sp1g,-1.374161404133,21.105,-0.874206618831 1.51317816659 -0.949829119256 0.970778136599
10,d9uhsj535hes73fjv0r0,-1.485400676299,19.988,-0.844421915143 0.479572905587 -0.391152271157 1.30101179405
