iteration,expectation,objective,params
0,3.2176269651849347,-3.2176269651849347,0.6000000000 0.6000000000 0.4000000000 0.4000000000
1,3.2176269651849347,-3.2176269651849347,0.6000000000 0.6000000000 0.4000000000 0.4000000000
2,3.173591839013294,-3.173591839013294,1.2000000000 0.6000000000 0.4000000000 0.4000000000
3,3.5135481183599633,-3.5135481183599633,0.6000000000 1.2000000000 0.4000000000 0.4000000000
4,2.271877258325134,-2.271877258325134,0.6000000000 1.2000000000 1.0000000000 0.4000000000
5,2.717159168304992,-2.717159168304992,0.6000000000 1.2000000000 0.4000000000 1.0000000000
6,1.4809475513270887,-1.4809475513270887,0.5824462709 1.3179630946 -0.0949674449 0.0825353510
7,3.6126630126138655,-3.6126630126138655,0.5958238660 1.2280641044 0.6889475495 0.3244733186
8,3.21123254936257,-3.21123254936257,0.5880650364 1.2802043394 0.6833568195 0.1841524712
9,3.586859795466928,-3.586859795466928,0.5658696217 1.2280641044 0.6889475495 0.3261295933
10,3.627353179194217,-3.627353179194217,0.6142465261 1.2369352613 0.7083652744 0.3774342488
11,3.618876513809739,-3.618876513809739,0.6229972884 1.1787906855 0.7189483975 0.3829686841
12,3.534112197442474,-3.534112197442474,0.6136583578 1.2408878205 0.7361300212 0.3667970420
13,3.7737394526856276,-3.7737394526856276,0.6312969764 1.2342202588 0.6543080752 0.3969209137
14,3.877894680207125,-3.877894680207125,0.6755277390 1.2323971909 0.5491127079 0.4339918021
15,3.7859601840790407,-3.7859601840790407,0.7158498208 1.3245300729 0.5453084216 0.4993461377
16,3.8614861528114806,-3.8614861528114806,0.6974896792 1.2017834373 0.5034569026 0.4241928881
17,3.8689213110638767,-3.8689213110638767,0.6678824346 1.2179357715 0.5497362057 0.4591319676
18,3.7970461420247608,-3.7970461420247608,0.6262211399 1.2485039716 0.5202594627 0.4252213320
19,3.910295745185477,-3.910295745185477,0.6982311967 1.2064601879 0.5936146621 0.4132216084
20,3.9028976766217456,-3.9028976766217456,0.7170205055 1.1585165190 0.6229392547 0.4226255841
21,3.8948098640826774,-3.8948098640826774,0.6744390472 1.1940314964 0.5928276783 0.3998484298
22,3.8837614700982557,-3.8837614700982557,0.7293997118 1.2437880973 0.6240796013 0.3956990993
23,3.889785792512069,-3.889785792512069,0.6771686666 1.2000909568 0.5993982580 0.3936677664
24,3.9043671155919593,-3.9043671155919593,0.6959584953 1.2096141466 0.5992383449 0.4163056908
25,3.9191903162693116,-3.9191903162693116,0.7112008557 1.2094577619 0.5893724912 0.4077620770
26,3.928132001095678,-3.928132001095678,0.7185283375 1.2075350466 0.5769174172 0.4112951078
27,3.9340446421580113,-3.9340446421580113,0.7305364190 1.2121030611 0.5704077908 0.4154860487
28,3.9349505912089104,-3.9349505912089104,0.7372276397 1.2094395795 0.5594028321 0.4082732603
29,3.9338280550874223,-3.9338280550874223,0.7365192488 1.2101018050 0.5554071138 0.4126429142
30,3.932789585375519,-3.932789585375519,0.7363071274 1.2120537785 0.5588807868 0.4072504750
31,3.9396156823390167,-3.9396156823390167,0.7419980309 1.2068127152 0.5614774828 0.4097011174
32,3.948100753431497,-3.948100753431497,0.7498205141 1.1989355966 0.5654353971 0.4119582557
33,3.9607892255008137,-3.9607892255008137,0.7709142164 1.1931428407 0.5741908068 0.4165236151
34,3.967782960070441,-3.967782960070441,0.7815296356 1.1733313004 0.5820743091 0.4135797850
35,3.967887765497944,-3.967887765497944,0.8024685492 1.1787256096 0.5911056269 0.4083933966
36,3.9742658499219288,-3.9742658499219288,0.8074767930 1.1749360944 0.5873321582 0.4178969750
37,3.9789386510507825,-3.9789386510507825,0.8122948851 1.1708378291 0.5773950597 0.4156069350
38,3.9837194131241715,-3.9837194131241715,0.8179384246 1.1637013112 0.5721382185 0.4214022949
39,3.986672569554923,-3.986672569554923,0.8259780521 1.1566483992 0.5666957839 0.4214292618
40,3.986855442323302,-3.986855442323302,0.8297676831 1.1614477374 0.5585358824 0.4277554817
41,3.988967506123496,-3.988967506123496,0.8327774876 1.1592415851 0.5613608373 0.4315096259
42,3.9906545813983216,-3.9906545813983216,0.8376122763 1.1560891376 0.5624152581 0.4327646514
43,3.991634238334183,-3.991634238334183,0.8376220579 1.1514273691 0.5623480453 0.4365413300
44,3.992537513194934,-3.992537513194934,0.8412138631 1.1506244623 0.5657412680 0.4398489449
45,3.9937415499459465,-3.9937415499459465,0.8459364631 1.1475105016 0.5640482774 0.4409138769
46,3.9943547240624286,-3.9943547240624286,0.8494682380 1.1458214772 0.5623070084 0.4451140847
47,3.995274789131814,-3.995274789131814,0.8523733101 1.1409548654 0.5641885826 0.4445341504
48,3.9961173736793985,-3.9961173736793985,0.8581103367 1.1411510951 0.5649173863 0.4429476873
49,3.996821222641138,-3.996821222641138,0.8631236110 1.1384023993 0.5660847671 0.4443437442
50,3.9974074534123685,-3.9974074534123685,0.8656305910 1.1353560536 0.5624767330 0.4416203421
51,3.997578356078756,-3.997578356078756,0.8690856239 1.1327344684 0.5646481098 0.4380883226
52,3.998015608239373,-3.998015608239373,0.8741517086 1.1335762159 0.5617418646 0.4391745942
53,3.9984643339559693,-3.9984643339559693,0.8761242341 1.1289194992 0.5596828911 0.4416615122
54,3.9980624048984867,-3.9980624048984867,0.8790549411 1.1262879576 0.5552088673 0.4409766353
55,3.9985347839067633,-3.9985347839067633,0.8776601557 1.1279421383 0.5615001779 0.4401177572
56,3.9989141191139193,-3.9989141191139193,0.8801569604 1.1281145563 0.5643117041 0.4447901826
57,3.9983469055240204,-3.9983469055240204,0.8775599681 1.1240812904 0.5672372232 0.4468948762
