backend,device,target,precision,qubits,depth,runtime_s,expectation
cudaq,gpu,target=nvidia (1 QPU),complex128,4,1,0.09255958300000344,0.96901165504388
cudaq,gpu,target=nvidia (1 QPU),complex128,8,1,0.10712758849999915,0.908369171836945
cudaq,gpu,target=nvidia (1 QPU),complex128,12,1,0.10030213599999627,0.8936457777839459
cudaq,gpu,target=nvidia (1 QPU),complex128,16,1,0.13521529799999144,0.999704511478293
cudaq,gpu,target=nvidia (1 QPU),complex128,20,1,0.1275550955,0.9970503654891478
cudaq,gpu,target=nvidia (1 QPU),complex128,24,1,0.13329384749999917,0.9897159672275105
cudaq,gpu,target=nvidia (1 QPU),complex128,4,3,0.09423673350000428,0.9884672204207163
cudaq,gpu,target=nvidia (1 QPU),complex128,8,3,0.08681223099999613,0.9109769410325459
cudaq,gpu,target=nvidia (1 QPU),complex128,12,3,0.09240443299999868,0.9127143637667717
cudaq,gpu,target=nvidia (1 QPU),complex128,16,3,0.0864499310000042,0.9143696521534685
cudaq,gpu,target=nvidia (1 QPU),complex128,20,3,0.09383528349999892,0.7742233946144128
cudaq,gpu,target=nvidia (1 QPU),complex128,24,3,0.1874252170000048,0.9605462725193705
